Year	Population	Yearly_%Change	Yearly_Change	Migrants_(net)	Median_Age	Fertility_Rate	Density_(P/Km²)	Urban_Pop%	Urban_Population	Country_Share_of_World_Pop	World_Population	Ireland_Global_Rank
2020	4,937,786	1.13 %	55,291	23,604	38.2	1.84	72	63.0 %	3,111,336	0.06 %	7,794,798,739	124
2019	4,882,495	1.32 %	63,805	23,604	36.8	1.94	71	62.9 %	3,073,341	0.06 %	7,713,468,100	124
2018	4,818,690	1.38 %	65,411	23,604	36.8	1.94	70	63.0 %	3,034,528	0.06 %	7,631,091,040	124
2017	4,753,279	1.22 %	57,500	23,604	36.8	1.94	69	63.1 %	2,997,322	0.06 %	7,547,858,925	121
2016	4,695,779	0.93 %	43,354	23,604	36.8	1.94	68	63.1 %	2,964,988	0.06 %	7,464,022,049	121
2015	4,652,425	0.43 %	19,621	-22,364	36.5	1.97	68	63.2 %	2,939,375	0.06 %	7,379,797,139	121
2010	4,554,321	1.92 %	82,620	39,457	34.4	2.00	66	62.5 %	2,847,514	0.07 %	6,956,823,603	120
2005	4,141,223	1.83 %	71,624	40,293	33.2	1.93	60	61.5 %	2,547,885	0.06 %	6,541,907,027	123
2000	3,783,103	1.04 %	38,183	16,976	31.8	1.90	55	60.2 %	2,276,738	0.06 %	6,143,493,823	123
1995	3,592,186	0.46 %	16,260	-3,075	30.1	1.96	52	58.9 %	2,116,050	0.06 %	5,744,212,979	122
1990	3,510,885	0.00 %	-19	-25,189	28.4	2.26	51	57.9 %	2,031,946	0.07 %	5,327,231,061	122
1985	3,510,979	0.73 %	25,245	-12,186	26.9	2.83	51	57.1 %	2,006,170	0.07 %	4,870,921,740	118
1980	3,384,756	1.53 %	49,516	10,353	26.3	3.25	49	56.2 %	1,900,678	0.08 %	4,458,003,514	114
1975	3,137,176	1.53 %	45,751	8,867	26.1	3.73	46	54.4 %	1,707,788	0.08 %	4,079,480,606	113
1970	2,908,421	0.59 %	16,954	-11,456	26.4	3.86	42	52.0 %	1,512,629	0.08 %	3,700,437,046	110
1965	2,823,650	0.23 %	6,451	-21,167	27.5	4.01	41	46.8 %	1,322,242	0.08 %	3,339,583,597	95
1960	2,791,397	-0.58 %	-16,404	-41,448	29.2	3.58	41	45.7 %	1,275,146	0.09 %	3,034,949,748	104
1955	2,873,415	-0.27 %	-7,853	-34,071	30.2	3.42	42	44.1 %	1,267,440	0.10 %	2,773,019,936	95
