Year	Population	Yearly_%Change	Yearly_Change	Migrants_(net)	Median_Age	Fertility_Rate	Density_(P/Km²)	Urban_Pop%	Urban_Population	Country_Share_of_World_Pop	World_Population	Ireland_Global_Rank
2020	331,002,651	0.59 %	1,937,734	954,806	38.3	1.78	36	82.8 %	273,975,139	4.25%	7,794,798,739	3
2019	329,064,917	0.60 %	1,968,652	954,806	37.7	1.85	36	82.5 %	271,365,914	4.27%	7,713,468,100	3
2018	327,096,265	0.62 %	2,011,509	954,806	37.7	1.85	36	82.2 %	268,786,714	4.29%	7,631,091,040	3
2017	325,084,756	0.64 %	2,068,761	954,806	37.7	1.85	36	81.9 %	266,243,516	4.31%	7,547,858,925	3
2016	323,015,995	0.67 %	2,137,685	954,806	37.7	1.85	35	81.7 %	263,743,312	4.33%	7,464,022,049	3
2015	320,878,310	0.76 %	2,373,367	992,343	37.6	1.88	35	81.4 %	261,287,811	4.35%	7,379,797,139	3
2010	309,011,475	0.93 %	2,803,593	1,085,751	36.9	2.06	34	80.7 %	249,297,076	4.44 %	6,956,823,603	3
2005	294,993,511	0.93 %	2,656,520	1,066,979	36.1	2.04	32	80.0 %	235,892,407	4.51 %	6,541,907,027	3
2000	281,710,909	1.22 %	3,309,433	1,771,991	35.2	2.00	31	79.1 %	222,927,913	4.59 %	6,143,493,823	3
1995	265,163,745	1.01 %	2,608,687	892,751	34.0	2.03	29	77.4 %	205,240,402	4.62 %	5,744,212,979	3
1990	252,120,309	0.95 %	2,324,097	673,371	32.8	1.91	28	75.4 %	190,156,233	4.73 %	5,327,231,061	3
1985	240,499,825	0.94 %	2,204,694	676,492	31.4	1.80	26	74.6 %	179,400,645	4.94 %	4,870,921,740	3
1980	229,476,354	0.93 %	2,079,021	754,176	30.0	1.77	25	73.8 %	169,422,683	5.15 %	4,458,003,514	3
1975	219,081,251	0.90 %	1,913,582	577,869	29.0	2.03	24	73.7 %	161,450,209	5.37 %	4,079,480,606	3
1970	209,513,341	0.96 %	1,955,933	311,211	28.4	2.54	23	73.6 %	154,262,109	5.66 %	3,700,437,046	3
1965	199,733,676	1.36 %	2,602,621	367,146	28.6	3.23	22	71.9 %	143,624,659	5.98 %	3,339,583,597	3
1960	186,720,571	1.69 %	3,007,047	424,979	29.7	3.58	20	70.0 %	130,757,407	6.15 %	3,034,949,748	3
1955	171,685,336	1.57 %	2,576,188	173,553	30.3	3.31	19	67.2 %	115,375,863	6.19 %	2,773,019,936	3
